
State,Date Announced,Effective Date,End Date
Alabama,April 3,April 4,April 30
Alaska,March 27,March 28,April 24
Arizona,March 30,March 31,May 15
Arkansas,–,–,
California,March 19,March 19,Until revoked
Colorado,March 26,March 26,April 26*
Connecticut,March 20,March 23,May 20
Delaware,March 22,March 24,May 15
District of Columbia,March 30,April 1,May 15
Florida,April 1,April 3,May 4
Georgia,April 2,April 3,April 30*
Hawaii,March 23,March 25,May 31
Idaho,March 25,March 25,April 30
Illinois,March 20,March 21,May 30
Indiana,March 23,March 24,May 4
Iowa,–,–,–
Kansas,March 28,March 30,May 3
Kentucky,March 22,March 26,Until revoked
Louisiana,March 22,March 23,May 15
Maine,March 31,April 2,May 31
Maryland,March 30,March 30,Until revoked
Massachusetts,March 23,March 24,May 18
Michigan,March 23,March 24,May 15
Minnesota,March 25,March 27,May 18
Mississippi,March 31,April 3,April 27
Missouri,April 3,April 6,May 3
Montana,March 26,March 28,April 26
Nebraska,–,–,
Nevada,March 31,April 1,May 15
New Hampshire,March 26,March 27,May 31
New Jersey,March 20,March 21,Until revoked
New Mexico,March 23,March 24,May 15
New York,March 20,March 22,May 15
North Carolina,March 27,March 30,May 8
North Dakota,–,–,
Ohio,March 22,March 23,May 29
Oklahoma,–,–,
Oregon,March 23,March 23,Until revoked
Pennsylvania,March 23,April 1,May 8
Rhode Island,March 28,March 28,May 8
South Carolina,April 6,April 7,May 4
South Dakota,–,–,
Tennessee,March 30,March 31,April 30
Texas,March 31,April 2,April 30
Utah,–,–,
Vermont,March 24,March 24,May 15
Virginia,March 30,March 30,June 10
Washington,March 23,March 23,May 31
West Virginia,March 23,March 24,Until revoked
Wisconsin,March 24,March 25,May 26
Wyoming,–,–,–
